"time","bottom_temp","sst","sss","zeta","dist_shore_km","dist_OC_km","dist_200m_km","dist_MO_km","dist_RTWB_km","dist_NB_km","depth_m"
2015-01-31,6.14457893371582,6.08083295822144,33.6831207275391,-0.360228687524796,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-02-01,6.11400842666626,6.2897458076477,33.5578727722168,-0.335270494222641,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-02-02,6.17511606216431,6.26948881149292,33.5361366271973,-0.137773185968399,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-02-03,6.29425811767578,6.05882215499878,33.5476455688477,-0.39401987195015,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-02-04,5.15186834335327,5.67931222915649,33.5603294372559,-0.369084507226944,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-02-05,5.4588680267334,5.48993921279907,33.5390930175781,-0.291665941476822,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-02-06,5.62888526916504,5.45397329330444,33.6663017272949,-0.398213505744934,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-02-07,6.12395811080933,5.4234127998352,33.6440238952637,-0.354544430971146,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-02-08,6.48808145523071,5.46007871627808,33.6156120300293,-0.19905449450016,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-02-09,6.99757719039917,5.47673463821411,33.5699424743652,-0.046146746724844,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-02-10,5.57227659225464,5.40592956542969,33.9581489562988,0.0981476381421089,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-02-11,5.48281240463257,5.48142099380493,33.9099082946777,0.112253211438656,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-02-12,5.53531503677368,5.50681257247925,33.7788581848145,0.0609297193586826,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-02-13,5.27888965606689,5.19317865371704,33.6925849914551,-0.165150612592697,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-02-14,5.18724870681763,5.10436105728149,33.6685905456543,-0.08633603900671,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-02-15,5.06438302993774,4.98836326599121,33.7293663024902,-0.194188475608826,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-02-16,3.99431204795837,3.94606900215149,33.6620216369629,-0.358389616012573,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-02-17,4.10519933700562,3.98713994026184,33.6926879882812,-0.212284430861473,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-02-18,4.11366271972656,4.00982618331909,33.7224273681641,-0.13512347638607,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-02-19,4.26049613952637,4.10682487487793,33.5727806091309,-0.243390083312988,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-02-20,3.87285923957825,3.77960562705994,33.561710357666,-0.476225852966309,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-02-21,3.88127207756042,3.74650549888611,33.6734352111816,-0.460679054260254,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-02-22,4.36394214630127,4.04554033279419,33.4933128356934,-0.284619808197021,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-02-23,4.48731994628906,4.37295484542847,33.6134376525879,-0.358632653951645,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-02-24,4.53951263427734,4.54176950454712,33.7556610107422,-0.343365639448166,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-02-25,4.88387727737427,4.46268463134766,33.7434501647949,-0.220526292920113,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-02-26,4.9089241027832,4.61365270614624,33.7809410095215,-0.222395494580269,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-02-27,4.69188404083252,4.6552996635437,33.7712669372559,-0.360149621963501,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-02-28,3.80847358703613,3.64329600334167,33.7347679138184,-0.499210000038147,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-03-01,3.85616421699524,3.84548735618591,33.792179107666,-0.390540242195129,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-03-02,4.07453393936157,3.7979154586792,33.7271041870117,-0.354644805192947,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-03-03,4.94536447525024,4.59092998504639,33.7978553771973,-0.400926142930984,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-03-04,4.98560237884521,4.48595476150513,33.6840972900391,-0.264878183603287,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-03-05,5.20254755020142,4.41279125213623,33.6020011901855,-0.320809870958328,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-03-06,4.15274810791016,3.63035130500793,33.7972984313965,-0.392908453941345,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-03-07,4.14005708694458,4.02574014663696,33.922664642334,-0.368388772010803,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-03-08,4.73692798614502,3.77135396003723,33.8263244628906,-0.413409739732742,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-03-09,5.00844717025757,4.93215703964233,33.8330268859863,-0.38703790307045,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-03-10,5.10192823410034,5.17876768112183,33.7532997131348,-0.346503406763077,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-03-11,5.22096872329712,5.31108474731445,33.4352416992188,-0.30797091126442,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-03-12,5.03799724578857,4.61699056625366,33.2610778808594,-0.51115208864212,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-03-13,5.00075674057007,4.7433762550354,33.4796867370605,-0.418393403291702,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-03-14,5.10438632965088,5.1235237121582,33.634449005127,-0.20410817861557,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-03-15,5.84661340713501,5.63987684249878,34.1620483398438,-0.234608486294746,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-03-16,5.71723747253418,5.9466495513916,34.1161079406738,-0.298990190029144,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-03-17,5.8013744354248,6.2106761932373,34.1185417175293,-0.131127625703812,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-03-18,5.64292907714844,5.83994436264038,33.9272537231445,-0.323790550231934,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-03-19,5.50767850875854,5.81632041931152,34.057300567627,-0.4184250831604,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-03-20,5.55449867248535,5.66829872131348,33.9767875671387,-0.276968389749527,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-03-21,4.80476474761963,5.70068979263306,33.8321266174316,-0.111650615930557,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-03-22,4.74281978607178,5.71669721603394,33.716438293457,-0.229699015617371,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-03-23,4.84630441665649,5.74435567855835,33.7108497619629,-0.255511462688446,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-03-24,5.92120885848999,6.09217023849487,33.9042510986328,-0.380037307739258,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-03-25,5.99003458023071,6.28762483596802,33.9264640808105,-0.354543477296829,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-03-26,6.06882667541504,6.5437159538269,33.9009971618652,-0.207841113209724,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-03-27,6.63533735275269,6.66936349868774,33.7099990844727,-0.149235010147095,48.7,50.2,55.9,22.4,12.2,23.9,34
