Date,Site,sst,bottom_temp,sss,stratification,phase,daylight_hours,year,month,site,device_type,days_monitored,days_present,percent_occurrence,period,dist_200m_km
10/1/22,RTWB,18.03158145,17.71098131,33.02661711,0.008436846,0.499645479,11.20076165,2022,Oct,RTWB,RealTime,31,0,0,2,67.9
11/1/22,RTWB,16.25318372,16.25266714,33.48886312,1.36E-05,0.525911742,10.1159537,2022,Nov,RTWB,RealTime,30,2,6.666666667,2,67.9
12/1/22,RTWB,11.9809977,12.24699273,33.60084927,-0.006999867,0.49970253,9.549265233,2022,Dec,RTWB,RealTime,31,8,25.80645161,2,67.9
1/1/23,RTWB,8.777553697,10.2348012,32.72989974,-0.038348619,0.483017847,9.839632616,2023,Jan,RTWB,RealTime,31,15,48.38709677,2,67.9
2/1/23,RTWB,7.737003275,8.023303168,32.59276363,-0.007534208,0.513971521,10.76599206,2023,Feb,RTWB,RealTime,28,19,67.85714286,2,67.9
3/1/23,RTWB,7.722121777,7.582455912,32.24139158,0.003675419,0.475152745,11.95182796,2023,Mar,RTWB,RealTime,31,12,38.70967742,2,67.9
4/1/23,A2M,12.8620126,10.14932762,31.1163793,0.113028541,0.251813435,13.56704545,2023,Apr,A2M,Archival,11,0,0,2,83.3
4/1/23,A7M,12.78103603,9.620736729,31.50317677,0.090292727,0.251813435,13.56305556,2023,Apr,A7M,Archival,11,0,0,2,67.9
4/1/23,RTWB,12.02396275,9.344805475,31.54734057,0.070504139,0.368063412,13.38697531,2023,Apr,RTWB,RealTime,30,1,3.333333333,2,67.9
4/1/23,T2M,12.69041356,9.379132704,31.92301299,0.091980024,0.251813435,13.56305556,2023,Apr,T2M,Archival,11,0,0,2,55.9
5/1/23,A2M,15.00530031,12.32567178,30.71863494,0.111651188,0.475463763,14.25166667,2023,May,A2M,Archival,31,0,0,2,83.3
5/1/23,A7M,14.69422651,11.07234266,31.42314142,0.103482581,0.475463763,14.24570789,2023,May,A7M,Archival,31,0,0,2,67.9
5/1/23,RTWB,14.69422651,11.07234266,31.42314142,0.095312733,0.475463763,14.24570789,2023,May,RTWB,RealTime,31,0,0,2,67.9
5/1/23,T2M,14.531274,10.46357819,32.06770774,0.11299155,0.475463763,14.24561828,2023,May,T2M,Archival,31,0,0,2,55.9
6/1/23,A2M,19.04819724,16.36127424,31.00144952,0.111955125,0.497271693,14.79247222,2023,Jun,A2M,Archival,30,0,0,2,83.3
6/1/23,A7M,18.59556764,13.96292645,31.38865871,0.132360333,0.497271693,14.78489815,2023,Jun,A7M,Archival,30,0,0,2,67.9
