Date,Site,sst,bottom_temp,sss,stratification,phase,daylight_hours,device_type,percent_occurrence,period
3/6/17,A7M,6.9130951,7.156711544,33.42655836,-0.00696,0.49494656,11.8290873,Archival,14,1
3/6/17,T2M,7.484956094,7.846316406,33.76634598,-0.01003779,0.49494656,11.82906746,Archival,7,1
3/20/17,A2M,5.967505148,5.265134301,32.09358379,0.029265452,0.59000299,12.41150794,Archival,14,1
3/20/17,A7M,6.092727525,5.67947541,32.86372212,0.011807857,0.59000299,12.41065476,Archival,21,1
3/20/17,T2M,6.70705206,6.363382646,33.75571605,0.009546373,0.59000299,12.41061508,Archival,14,1
4/3/17,A2M,8.184597696,6.685813529,32.47816317,0.06244934,0.44374758,12.98498016,Archival,0,1
4/3/17,A7M,8.108023064,6.768472467,32.73913901,0.038272857,0.44374758,12.98253968,Archival,7,1
4/3/17,T2M,7.839554378,7.173556498,33.06701524,0.018499941,0.44374758,12.98255952,Archival,0,1
4/17/17,A2M,11.67887565,8.167163679,31.96985068,0.146321332,0.610420031,13.53109127,Archival,0,1
4/17/17,A7M,11.4590995,7.620236669,32.47904996,0.109682143,0.610420031,13.52706349,Archival,0,1
4/17/17,T2M,11.6577673,7.755679471,32.90438707,0.108391329,0.610420031,13.52710317,Archival,0,1
5/1/17,A2M,13.27502135,9.395396573,32.02943911,0.161651032,0.391742683,14.02486111,Archival,0,1
5/1/17,A7M,13.2698444,8.33547289,32.1380291,0.140981429,0.391742683,14.01958333,Archival,0,1
5/1/17,T2M,13.31681947,7.86049928,32.28275844,0.15156445,0.391742683,14.01954365,Archival,0,1
5/15/17,A2M,14.84222187,11.0677198,31.23580728,0.15727092,0.632048301,14.43261905,Archival,0,1
5/15/17,A7M,14.30709376,8.569107907,31.96189608,0.163942857,0.632048301,14.42607143,Archival,0,1
5/15/17,T2M,13.99144609,7.776463407,32.70315143,0.172638408,0.632048301,14.42615079,Archival,0,1
5/29/17,A2M,17.1276412,12.22067411,31.16421999,0.204456962,0.340392298,14.71386905,Archival,0,1
5/29/17,A7M,16.60873434,9.865711689,31.55971609,0.192657143,0.340392298,14.70652778,Archival,7,1
5/29/17,T2M,16.48882764,8.976261548,32.2055912,0.208682392,0.340392298,14.7065873,Archival,7,1
6/12/17,A2M,19.76145704,12.55001102,30.94704315,0.300476917,0.724453724,14.83267857,Archival,6,1
6/12/17,A7M,20.42642825,11.27759525,31.06165872,0.261396429,0.724453724,14.82496032,Archival,12,1
6/12/17,T2M,20.72625828,10.54616703,31.30780315,0.282780312,0.724453724,14.82498016,Archival,6,1
6/26/17,A2M,21.26148319,13.91001197,31.89874499,0.306311301,0.289959852,14.77188492,Archival,0,1
6/26/17,A7M,22.33481543,11.91422912,32.40578733,0.297731429,0.289959852,14.76446429,Archival,0,1
6/26/17,T2M,23.10333375,10.20470313,32.47008678,0.358295295,0.289959852,14.76444444,Archival,0,1
7/10/17,A2M,24.15736921,13.87193966,31.16213948,0.428559565,0.747786334,14.54184524,Archival,0,1
7/10/17,A7M,25.37550436,11.58914518,31.77915587,0.393896429,0.747786334,14.53498016,Archival,0,1
7/10/17,T2M,26.20929541,10.26845789,32.18336051,0.442801042,0.747786334,14.53505952,Archival,0,1
7/24/17,A2M,23.42569773,17.18576152,31.75383227,0.259997342,0.240414802,14.1747619,Archival,0,1
7/24/17,A7M,23.72460488,13.00698056,31.96211284,0.306217857,0.240414802,14.1690873,Archival,0,1
7/24/17,T2M,24.16870798,10.83176442,31.92874227,0.370470654,0.240414802,14.1689881,Archival,0,1
8/7/17,A2M,24.56764943,17.04242407,31.73464012,0.313551057,0.699265411,13.71107143,Archival,0,1
